url,university_code,university_name
https://diemthi.tuyensinh247.com/diem-chuan/khoa-quoc-te-dai-hoc-thai-nguyen-DTQ.html,DTQ,Khoa Quốc Tế
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-y-duoc-thai-binh-YTB.html,YTB,Đại Học Y Dược Thái Bình
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-bac-PCH.html,PCH,Đại Học Phòng Cháy Chữa Cháy (Phía Bắc)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-phong-chay-chua-chay-phia-nam-PCS.html,PCS,Đại Học Phòng Cháy Chữa Cháy (phía Nam)
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hang-hai-viet-nam-HHA.html,HHA,Đại Học Hàng Hải Việt Nam
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-quoc-te-bac-ha-DBH.html,DBH,Đại Học Quốc Tế Bắc Hà
https://diemthi.tuyensinh247.com/diem-chuan/hoc-vien-ky-thuat-quan-su-he-quan-su-KQH.html,KQH,Học Viện Kỹ Thuật Quân Sự
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-da-lat-TDL.html,TDL,Đại Học Đà Lạt
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-cong-nghe-tphcm-DKC.html,DKC,Đại học Công Nghệ TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-duoc-ha-noi-DKH.html,DKH,Đại Học Dược Hà Nội
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-giao-thong-van-tai-tphcm-GTS.html,GTS,Đại Học Giao Thông Vận Tải TPHCM
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-hung-vuong-THV.html,THV,Đại Học Hùng Vương
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-xay-dung-mien-tay-MTU.html,MTU,Đại Học Xây Dựng Miền Tây
https://diemthi.tuyensinh247.com/diem-chuan/dai-hoc-su-pham-ky-thuat-vinh-long-VLU.html,VLU,Đại Học Sư Phạm Kỹ Thuật Vĩnh Long
